"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param","Covariance_Param_Label"
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","off_mean",0.0803949733316202,0.184300145129611,0.0579710330929303,0.100546450222577,0.333156383298877,-1.79236363843001,0.002997002997003,"lower","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","rmax",0.460714885934276,0.744064349020069,0.0976189592431431,0.525914269982307,0.908696219084008,-2.90260688377187,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","neff_mean",5.34414622721019,4.01090742399073,0.527912366955407,2.78583648645566,5.03149817738797,2.52549265119238,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","off_mean",0.70688561518371,0.184300145129611,0.0579710330929303,0.100546450222577,0.333156383298877,9.01459646607245,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","rmax",0.908696219084008,0.744064349020069,0.0976189592431431,0.525914269982307,0.908696219084008,1.68647434207821,0.0769230769230769,"upper","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","neff_mean",1.40862006840625,4.01090742399073,0.527912366955407,2.78583648645566,5.03149817738797,-4.92939267665291,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","off_mean",0.163851641985454,0.183028245562333,0.0279727026554959,0.140275227203908,0.249056935179072,-0.685547042524015,0.253746253746254,"lower","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","rmax",0.607454345862116,0.844057616824008,0.0530340562447959,0.732355867339341,0.908696219084008,-4.46134592967531,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","neff_mean",5.97814228663645,5.10740712053119,0.458167748913024,4.27832309646095,5.86844734084506,1.90047241031485,0.004995004995005,"upper","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","off_mean",0.483163277350433,0.183028245562333,0.0279727026554959,0.140275227203908,0.249056935179072,10.7295685899386,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","rmax",0.865929723594204,0.844057616824008,0.0530340562447959,0.732355867339341,0.908696219084008,0.412416253232426,0.431568431568432,"upper","BM",NA,"BM"
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","neff_mean",2.05910439467742,5.10740712053119,0.458167748913024,4.27832309646095,5.86844734084506,-6.6532459630467,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","off_mean",0.064563590206416,0.207889248494311,0.0698782194379544,0.102800199367183,0.385311161180539,-2.05107770977415,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","rmax",0.386101039478108,0.761996843781584,0.107419034904847,0.568072453604408,0.94795613990224,-3.49934073264064,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","neff_mean",5.60354545797114,3.81286786770941,0.607757123461545,2.66712242509375,4.97419773915735,2.94637038569411,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","off_mean",0.830287201737706,0.207889248494311,0.0698782194379544,0.102800199367183,0.385311161180539,8.90689485578591,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","rmax",0.959990222774389,0.761996843781584,0.107419034904847,0.568072453604408,0.94795613990224,1.84318709592011,0.020979020979021,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","neff_mean",1.19205875359961,3.81286786770941,0.607757123461545,2.66712242509375,4.97419773915735,-4.31226391750492,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","off_mean",0.118365483718262,0.207641083422518,0.039767694560274,0.143875327928018,0.299103618503701,-2.24492771560959,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","rmax",0.568072441818713,0.880476391796758,0.0681646210978763,0.7323558643002,0.980213665413055,-4.58308056212137,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","neff_mean",6.50430526910084,4.8666311641677,0.587514141359549,3.83928190809225,5.90836823597626,2.78746329602117,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","off_mean",0.698992238197097,0.207641083422518,0.039767694560274,0.143875327928018,0.299103618503701,12.3555353210094,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","rmax",0.959990222774389,0.880476391796758,0.0681646210978763,0.7323558643002,0.980213665413055,1.16649707277707,0.123876123876124,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","neff_mean",1.51140648388962,4.8666311641677,0.587514141359549,3.83928190809225,5.90836823597626,-5.71088326914796,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","off_mean",0.18328788619382,0.209831144434883,0.0224891369232426,0.171125884977272,0.258982955462712,-1.18027020475072,0.113886113886114,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","rmax",0.670546365498762,0.945155605669335,0.0307162966482295,0.865929723594204,0.980213665413055,-8.94018062514059,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","neff_mean",6.82064826491992,5.84632543009803,0.495603341764143,4.9009377215647,6.60033890471099,1.96593273837441,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","off_mean",0.516334368670914,0.209831144434883,0.0224891369232426,0.171125884977272,0.258982955462712,13.6289456230425,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","rmax",0.938848293776699,0.945155605669335,0.0307162966482295,0.865929723594204,0.980213665413055,-0.205340896556262,0.724275724275724,"upper","BM",NA,"BM"
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","neff_mean",1.91847586448744,5.84632543009803,0.495603341764143,4.9009377215647,6.60033890471099,-7.92538959004811,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.0457773376016081,0.208457938861984,0.0725498807778121,0.105677587855773,0.391208400000788,-2.24232761675507,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.330212856772719,0.768666346436863,0.10062989792975,0.577054179736366,0.943105878354286,-4.35708967895634,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",6.11584728424142,3.82492564987354,0.633288474158631,2.67661932663977,4.96633714039259,3.61750091443167,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.907506664382354,0.208457938861984,0.0725498807778121,0.105677587855773,0.391208400000788,9.63542211270124,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.98318223017415,0.768666346436863,0.10062989792975,0.577054179736366,0.943105878354286,2.1317311072604,0.003996003996004,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",1.10268670627704,3.82492564987354,0.633288474158631,2.67661932663977,4.96633714039259,-4.29857648556322,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","off_mean",0.111231239139146,0.2046376115054,0.0387693671278569,0.142186626568324,0.295524978677136,-2.40928287681897,0.001998001998002,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","rmax",0.525914250219481,0.870896246098379,0.0616080093840235,0.742239021426517,0.980213665413055,-5.59962899837437,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","neff_mean",7.12619850223991,4.88180103755268,0.619279908049645,3.86548088169622,6.12991565363944,3.62420520270989,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","off_mean",0.785579880880554,0.2046376115054,0.0387693671278569,0.142186626568324,0.295524978677136,14.9845693240045,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","rmax",0.959990222774389,0.870896246098379,0.0616080093840235,0.742239021426517,0.980213665413055,1.44614275914447,0.0729270729270729,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","neff_mean",1.27361312581034,4.88180103755268,0.619279908049645,3.86548088169622,6.12991565363944,-5.82642495718284,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","off_mean",0.17556110102798,0.205466730464355,0.024768605761782,0.163645871794286,0.258466864681633,-1.20740059912936,0.107892107892108,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","rmax",0.645854813041857,0.934019657416242,0.034183242997121,0.859461013917244,0.98318223017415,-8.43000309826236,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","neff_mean",7.70041882480137,5.86852815320704,0.599439580118406,4.72631769254387,6.96610886210661,3.05600552975244,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","off_mean",0.689568762828458,0.205466730464355,0.024768605761782,0.163645871794286,0.258466864681633,19.5449851727655,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","rmax",0.969696063200616,0.934019657416242,0.034183242997121,0.859461013917244,0.98318223017415,1.0436811331031,0.16983016983017,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","neff_mean",1.53347644236189,5.86852815320704,0.599439580118406,4.72631769254387,6.96610886210661,-7.23184096383635,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.194829684644442,0.205157920285006,0.0142098680175457,0.181449284825185,0.235044556248861,-0.726835437726196,0.25974025974026,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.775095225229437,0.967655326190319,0.0162333611569705,0.928688372172996,0.98318223017415,-11.8619982084362,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",7.84836985017386,6.87330546161754,0.511387038772122,5.85910921326462,7.70454096309153,1.9067053222497,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.518223973565296,0.205157920285006,0.0142098680175457,0.181449284825185,0.235044556248861,22.031594726547,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.98318223017415,0.967655326190319,0.0162333611569705,0.928688372172996,0.98318223017415,0.956481152220539,0.263736263736264,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",1.95752226622594,6.87330546161754,0.511387038772122,5.85910921326462,7.70454096309153,-9.61264721764313,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","off_mean",0.0457773370309992,0.216144446263283,0.0740314068369247,0.109260730415152,0.391597367794569,-2.30128153052077,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","rmax",0.330212845582811,0.771152592881002,0.104637025429508,0.568072458678571,0.954243500593332,-4.21399352177919,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","neff_mean",6.115847300384,3.73427527447417,0.628631301249799,2.66973385647101,4.88084473340801,3.78850372416225,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","off_mean",0.94386409217189,0.216144446263283,0.0740314068369247,0.109260730415152,0.391597367794569,9.82987730479873,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","rmax",0.98318223017415,0.771152592881002,0.104637025429508,0.568072458678571,0.954243500593332,2.02633471682534,0.00599400599400599,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","neff_mean",1.05500645471125,3.73427527447417,0.628631301249799,2.66973385647101,4.88084473340801,-4.26206715197954,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","off_mean",0.106234425531746,0.21093066807069,0.0430440672660783,0.145851278727081,0.308290094910033,-2.43230366432987,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","rmax",0.494016037863991,0.876436917551955,0.0593866614910177,0.756234216797427,0.977563360871897,-6.43950796503025,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","neff_mean",7.1928551040654,4.7726588991405,0.602769408909477,3.26599721883997,5.89598282928426,4.01512779041572,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,16,"clustered","off_mean",0.894350115805337,0.21093066807069,0.0430440672660783,0.145851278727081,0.308290094910033,15.8772042500089,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,16,"clustered","rmax",0.98318223017415,0.876436917551955,0.0593866614910177,0.756234216797427,0.977563360871897,1.79746276254881,0.020979020979021,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,16,"clustered","neff_mean",1.13283132844773,4.7726588991405,0.602769408909477,3.26599721883997,5.89598282928426,-6.0385074572346,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,32,"dispersed","off_mean",0.16021170591538,0.211655193540803,0.0286231472054867,0.164499878230903,0.278375367258586,-1.79726873694594,0.015984015984016,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,32,"dispersed","rmax",0.609510925049834,0.938134503771075,0.0333198863742311,0.86781036997552,0.989134926674533,-9.8626860557181,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,32,"dispersed","neff_mean",7.80072292745916,5.66334708891207,0.590429718824224,4.63258930848371,6.807409232082,3.62003430789941,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,32,"clustered","off_mean",0.793832304930732,0.211655193540803,0.0286231472054867,0.164499878230903,0.278375367258586,20.3393815225998,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,32,"clustered","rmax",0.974381227637213,0.938134503771075,0.0333198863742311,0.86781036997552,0.989134926674533,1.08784056040993,0.13986013986014,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,32,"clustered","neff_mean",1.28138754202435,5.66334708891207,0.590429718824224,4.63258930848371,6.807409232082,-7.42164462116491,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,64,"dispersed","off_mean",0.18972473809635,0.213278819740679,0.0171880579753798,0.183624506072874,0.2500238708881,-1.37037480779198,0.0599400599400599,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,64,"dispersed","rmax",0.733299069831391,0.968734238275594,0.0179701218227223,0.928688371826953,0.99855090970876,-13.1014787082026,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,64,"dispersed","neff_mean",8.03302078165189,6.52944486039857,0.571614317806733,5.31655279485314,7.5105543506813,2.63040283354429,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,64,"clustered","off_mean",0.697252785195889,0.213278819740679,0.0171880579753798,0.183624506072874,0.2500238708881,28.1575711548364,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,64,"clustered","rmax",0.974381227637213,0.968734238275594,0.0179701218227223,0.928688371826953,0.99855090970876,0.314243243163717,0.424575424575425,"upper","BM",NA,"BM"
"Cricetidae_C256","Cricetidae_C256",256,64,"clustered","neff_mean",1.54291025157965,6.52944486039857,0.571614317806733,5.31655279485314,7.5105543506813,-8.72359990553089,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,8,"dispersed","off_mean",0.0426558809695984,0.205794234029618,0.0726031901694982,0.10061962582272,0.39020992884,-2.24698601644307,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,8,"dispersed","rmax",0.309479467477883,0.763692254181914,0.0990997783575419,0.568072450124131,0.944302372592796,-4.5833885224776,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,8,"dispersed","neff_mean",6.2039101208264,3.8405252857766,0.606238514468485,2.68008907014223,4.96367428921459,3.89844059498907,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,8,"clustered","off_mean",0.946044410859706,0.205794234029618,0.0726031901694982,0.10061962582272,0.39020992884,10.1958354047792,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,8,"clustered","rmax",0.99077914307287,0.763692254181914,0.0990997783575419,0.568072450124131,0.944302372592796,2.29149744484442,0.001998001998002,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,8,"clustered","neff_mean",1.05484286937819,3.8405252857766,0.606238514468485,2.68008907014223,4.96367428921459,-4.5950271220243,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,16,"dispersed","off_mean",0.0790613551895855,0.201975801055128,0.0412197547700432,0.138817130218943,0.302257311464443,-2.98193054643964,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,16,"dispersed","rmax",0.473916831441175,0.871320638226332,0.0651476235030782,0.729284621627617,0.981333020603751,-6.10005070662908,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,16,"dispersed","neff_mean",7.78497200221254,4.92022129579176,0.59078840328594,3.93946997257961,6.07916891296492,4.84903002578784,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,16,"clustered","off_mean",0.920722217596583,0.201975801055128,0.0412197547700432,0.138817130218943,0.302257311464443,17.4369406259498,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,16,"clustered","rmax",0.98318223017415,0.871320638226332,0.0651476235030782,0.729284621627617,0.981333020603751,1.71704792796521,0.020979020979021,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,16,"clustered","neff_mean",1.08692911272712,4.92022129579176,0.59078840328594,3.93946997257961,6.07916891296492,-6.48843505008568,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,32,"dispersed","off_mean",0.13185246348399,0.203359411085282,0.027814277484912,0.158494896720412,0.262257211153167,-2.57087201492405,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,32,"dispersed","rmax",0.581745973604438,0.93265547596917,0.0365609022246264,0.856442863266546,0.988940632508636,-9.59794427962362,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,32,"dispersed","neff_mean",8.48876262460832,5.85574020768394,0.636519104133079,4.73264778769328,7.1284518173504,4.13659605788343,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,32,"clustered","off_mean",0.879577840542066,0.203359411085282,0.027814277484912,0.158494896720412,0.262257211153167,24.3119178567052,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,32,"clustered","rmax",0.984389183734439,0.93265547596917,0.0365609022246264,0.856442863266546,0.988940632508636,1.41500085111199,0.0549450549450549,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,32,"clustered","neff_mean",1.13893067628109,5.85574020768394,0.636519104133079,4.73264778769328,7.1284518173504,-7.41031887460316,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,64,"dispersed","off_mean",0.173443594324483,0.204260026626276,0.0182206323508936,0.17333523068938,0.242051999582543,-1.69129323880364,0.026973026973027,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,64,"dispersed","rmax",0.688300334167884,0.969358285131237,0.0194461997678856,0.925921151303081,0.997170156432302,-14.4531041703843,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,64,"dispersed","neff_mean",8.91352721662869,6.78575088201752,0.611876652858039,5.4330727033093,7.90473018070918,3.47745959038061,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,64,"clustered","off_mean",0.782467563397494,0.204260026626276,0.0182206323508936,0.17333523068938,0.242051999582543,31.7336701403154,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,64,"clustered","rmax",0.99077914307287,0.969358285131237,0.0194461997678856,0.925921151303081,0.997170156432302,1.10154468211356,0.0979020979020979,"upper","BM",NA,"BM"
"Cricetidae_C512","Cricetidae_C512",512,64,"clustered","neff_mean",1.29802723759573,6.78575088201752,0.611876652858039,5.4330727033093,7.90473018070918,-8.96867631537985,0.000999000999000999,"lower","BM",NA,"BM"
